param p_da_act :=
 0     53.86
1     55.80
2     52.94
3     50.00
4     48.95
5     48.19
6     51.16
7     58.08
8     59.04
9     60.07
10    59.31
11    59.92
12    57.00
13    57.38
14    56.00
15    58.53
16    59.34
17    74.70
18    89.95
19    88.00
20    77.39
21    61.00
22    58.96
23    55.84;
